customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3774,0,0,1,1,64,1,2,1,0,2,2,0,0,2,1,1,2,92.85,5980.75,0
5655,1,0,1,1,72,1,2,1,0,0,0,0,0,2,2,1,1,84.5,6130.85,0
688,0,0,1,1,62,1,2,1,0,2,0,2,2,2,1,1,1,106.05,6703.5,0
5482,1,0,1,1,60,1,0,2,1,1,1,1,1,1,2,0,3,20.55,1205.05,0
5205,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,120.25,0
3081,0,1,1,0,12,1,0,0,2,0,2,2,2,2,1,1,2,79.2,943.85,0
2647,0,1,1,0,65,1,2,1,0,2,2,0,2,2,0,1,0,108.8,7082.45,0
4664,1,0,1,1,51,1,0,2,1,1,1,1,1,1,2,0,1,19.55,1086.75,0
3385,0,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,0,19.85,1326.35,0
5399,0,0,0,0,17,1,0,2,1,1,1,1,1,1,1,0,3,19.55,280.85,0
6497,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,44.0,44.0,0
4392,1,0,0,0,57,1,0,0,0,2,0,2,0,0,1,1,3,54.65,3134.7,0
565,1,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,3,19.8,1396.25,0
6955,1,0,0,0,19,1,2,1,0,0,0,0,0,2,0,1,0,86.0,1532.45,1
193,0,0,0,0,11,0,1,0,0,2,2,2,0,0,1,1,1,40.4,422.6,0
929,1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6654.1,0
706,0,0,0,1,25,1,0,0,0,2,0,2,0,0,1,1,1,54.75,1266.35,0
3858,0,0,0,0,12,1,2,1,0,2,0,0,0,2,0,1,2,89.15,1057.55,0
6745,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,222.3,1
2578,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,0,50.8,288.05,1
6461,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2958.95,0
1793,1,0,1,0,33,1,2,0,2,2,2,0,2,0,0,1,0,72.75,2447.45,0
1443,0,0,1,1,40,1,2,2,1,1,1,1,1,1,0,1,2,26.2,1077.5,0
3584,1,0,0,0,51,1,2,1,0,0,0,0,0,2,0,0,0,83.4,4149.45,0
4413,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,1,73.25,131.05,1
6553,1,0,0,1,47,1,0,0,2,2,0,0,0,0,0,1,2,55.3,2654.05,0
5944,0,0,1,0,8,1,2,1,0,0,0,0,0,2,0,1,2,84.9,764.95,1
4034,1,0,1,1,15,1,0,2,1,1,1,1,1,1,0,1,2,20.0,288.05,1
1982,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.5,80.5,1
2955,0,0,1,0,61,1,2,1,0,0,2,2,2,2,0,1,2,106.35,6751.35,0
2010,1,0,1,1,68,1,2,1,0,2,0,0,2,2,1,1,1,101.05,6770.5,0
6518,0,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,2,75.55,413.65,1
4279,1,0,0,0,17,0,1,0,0,0,0,0,0,0,0,1,3,25.65,440.2,0
4639,1,0,1,1,51,1,2,2,1,1,1,1,1,1,1,1,3,23.95,1216.35,0
2235,1,0,0,0,3,1,0,2,1,1,1,1,1,1,0,1,2,20.25,61.45,0
5481,0,0,1,1,48,1,2,1,0,0,0,0,0,2,1,1,3,82.05,4029.95,1
4601,1,0,0,0,68,1,2,2,1,1,1,1,1,1,2,0,3,24.55,1657.4,0
5651,1,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,70.7,553.4,0
6155,0,0,0,0,13,0,1,0,0,2,0,0,0,0,0,1,2,31.05,347.25,1
3259,0,0,0,0,19,1,2,1,2,2,0,0,0,2,0,1,2,95.15,1789.25,1
1247,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,3,50.15,50.15,0
5588,1,0,1,0,31,1,2,0,0,0,0,0,2,0,0,1,1,59.05,1882.8,0
6870,1,0,0,0,39,1,2,1,0,2,0,0,0,0,1,0,1,81.4,3213.75,0
3043,0,0,0,0,17,1,0,2,1,1,1,1,1,1,1,0,1,20.05,337.9,0
859,0,0,1,1,43,1,0,0,0,2,0,0,0,0,0,0,3,50.2,2169.4,0
3076,1,0,0,0,54,1,0,1,2,0,2,0,2,0,0,0,3,89.8,4667.0,0
3704,1,0,0,0,28,1,0,1,0,0,2,2,0,2,0,0,2,91.0,2626.15,0
5152,0,0,0,1,1,1,0,0,2,0,0,2,0,0,0,0,2,54.5,54.5,0
970,0,0,1,1,18,1,0,0,2,2,0,2,0,0,1,1,3,61.5,1087.45,0
3878,1,0,1,1,56,1,2,2,1,1,1,1,1,1,1,1,3,24.45,1431.65,0
5017,1,0,0,0,54,1,0,0,2,2,0,0,2,0,2,1,0,65.3,3512.9,0
5649,1,0,1,0,67,1,2,1,0,2,0,0,2,0,1,1,0,88.4,5798.3,0
6707,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,29.7,29.7,1
1051,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,49.9,49.9,0
4607,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0
5774,0,0,1,1,36,1,2,1,2,0,2,0,2,2,0,1,1,104.5,3684.95,0
518,1,0,1,1,4,1,0,2,1,1,1,1,1,1,2,0,3,19.9,76.65,0
5129,1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5,1
6378,1,0,0,0,39,0,1,0,2,2,0,2,2,0,0,1,1,48.95,1880.85,1
201,1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,2,80.55,80.55,1
5909,1,0,0,0,14,1,0,2,1,1,1,1,1,1,0,1,2,20.05,299.3,0
3217,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,81.1,81.1,1
5902,0,0,1,1,67,1,2,0,2,0,0,0,2,2,2,1,2,75.5,5229.45,0
814,0,0,0,0,38,1,0,1,2,2,2,0,0,0,0,1,1,83.9,3233.6,1
5855,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,498.25,0
2041,0,0,0,0,46,1,2,0,2,0,2,0,2,2,2,0,3,79.2,3593.8,0
4633,0,0,0,0,16,0,1,0,2,0,0,0,2,0,0,1,2,38.9,664.4,0
5041,0,0,0,0,8,1,2,1,2,0,0,2,2,2,0,1,0,103.35,847.3,1
4793,1,0,1,1,65,1,0,2,1,1,1,1,1,1,2,1,1,19.85,1267.05,0
5234,1,0,0,0,19,1,0,2,1,1,1,1,1,1,1,0,3,18.8,279.2,0
4108,0,0,0,1,3,1,0,2,1,1,1,1,1,1,1,1,1,20.55,57.4,0
42,1,0,1,1,25,1,2,2,1,1,1,1,1,1,2,0,1,25.5,630.6,0
2297,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2633.3,0
69,0,0,0,0,33,1,2,1,0,2,2,0,2,2,0,0,2,107.55,3645.5,0
1907,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.05,78.05,1
4644,1,0,1,0,34,1,0,2,1,1,1,1,1,1,2,0,1,20.05,679.0,0
3330,0,0,1,1,47,1,0,2,1,1,1,1,1,1,2,0,0,19.3,890.5,0
4613,0,0,0,0,6,0,1,0,2,2,2,2,2,2,2,1,3,63.4,348.8,0
5656,0,0,0,1,66,1,2,1,2,0,2,2,0,0,2,1,1,90.95,5930.05,0
6179,1,0,0,0,4,1,2,2,1,1,1,1,1,1,0,0,3,25.25,101.9,0
2732,1,0,1,1,68,1,0,0,2,2,0,2,2,2,2,0,0,82.85,5776.45,0
4195,1,0,0,0,10,1,0,1,2,2,2,0,2,2,0,1,2,104.4,1081.45,1
2702,1,0,1,0,16,1,0,1,2,2,0,0,0,0,0,0,0,80.75,1321.3,0
428,0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,1
3040,0,0,1,1,27,1,0,0,0,2,0,0,0,0,0,0,3,49.85,1336.15,0
5548,1,1,0,0,31,1,2,1,0,0,2,2,2,0,0,1,0,96.6,2877.95,0
2648,1,0,1,0,66,1,2,1,0,2,0,2,2,2,1,1,2,104.05,6890.0,1
4563,1,0,1,1,10,0,1,0,2,2,2,2,0,2,2,0,1,53.7,521.0,0
3284,0,0,1,0,21,1,0,1,0,0,2,2,0,0,1,0,2,79.2,1742.45,0
658,0,0,1,1,62,1,0,2,1,1,1,1,1,1,2,0,0,20.3,1296.15,0
3044,1,0,0,0,18,1,2,1,0,0,0,0,0,0,0,1,0,75.6,1395.05,0
1396,0,0,1,0,64,1,2,1,0,2,2,2,2,2,0,1,2,111.15,6953.4,0
679,1,1,0,1,7,1,0,0,0,0,0,0,0,0,0,1,3,45.75,344.2,0
3693,1,0,0,0,25,1,0,1,2,0,0,0,0,0,0,0,0,74.3,1952.25,0
5915,1,0,0,1,23,0,1,0,2,2,0,2,0,0,1,0,0,40.65,947.4,0
1554,0,0,1,0,72,1,2,1,0,2,2,2,2,2,1,0,1,109.15,7789.6,0
1800,0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,7511.3,0
4229,1,0,1,1,47,1,2,2,1,1,1,1,1,1,2,0,3,24.55,1160.45,0
5302,1,0,1,1,7,0,1,0,2,2,2,0,0,0,2,0,3,38.55,280.0,0
5982,1,0,1,1,61,1,0,2,1,1,1,1,1,1,2,0,1,20.55,1305.95,0
2065,0,0,0,0,13,1,2,0,2,0,2,0,2,2,0,1,2,78.75,995.35,0
5418,1,1,0,0,66,1,2,1,0,2,2,2,2,2,1,0,1,110.9,7432.05,1
2981,0,0,0,0,66,1,2,1,0,2,0,0,2,0,1,1,0,88.9,6000.1,0
5562,1,0,1,1,51,1,0,0,2,0,0,2,2,2,1,1,0,76.4,3966.3,0
2083,1,0,0,0,69,1,2,1,2,2,2,0,2,2,2,1,1,110.05,7430.75,0
3546,1,0,1,0,7,1,0,1,0,0,0,0,0,0,0,1,2,69.35,451.1,1
3521,1,0,1,1,72,1,2,0,2,0,0,0,0,0,2,0,0,55.3,3983.6,0
393,0,1,0,0,4,1,0,1,0,2,0,0,0,0,0,0,2,72.75,317.75,0
1636,0,0,1,1,68,1,0,0,2,2,2,2,2,2,2,1,1,85.0,5607.75,0
4968,1,0,1,0,38,1,2,0,0,0,2,2,0,2,1,0,1,69.0,2669.45,0
4762,1,1,0,0,1,0,1,0,0,2,2,0,0,2,0,1,2,43.3,43.3,1
920,0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,20.05,83.3,0
3187,0,0,1,1,41,1,2,1,0,2,2,2,2,2,1,1,0,109.1,4454.25,0
6663,1,0,0,0,62,1,2,1,2,2,0,0,0,2,1,1,0,92.3,5731.45,0
2430,1,0,1,0,41,1,2,1,0,2,0,0,0,0,0,1,2,80.25,3439.0,0
1898,0,0,0,0,9,1,0,1,0,0,0,0,2,0,0,1,0,77.65,714.15,1
4781,0,0,0,0,15,1,0,0,0,0,0,0,2,0,1,0,3,56.15,931.9,0
6156,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,44.0,44.0,0
944,0,0,0,0,46,1,2,1,0,2,2,0,0,2,1,1,2,94.15,4408.45,0
5189,0,0,1,1,23,1,0,1,2,2,0,2,0,0,0,0,3,84.4,1936.85,0
5607,0,0,0,0,25,0,1,0,0,0,2,0,2,2,0,1,2,48.25,1293.8,0
5198,1,0,0,0,13,1,2,1,0,0,0,2,2,2,0,0,2,100.75,1313.25,0
6789,1,0,1,0,72,1,2,1,2,2,2,2,2,2,2,1,1,114.1,8086.4,0
857,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,3,19.65,1025.05,0
1386,0,0,0,0,60,1,2,0,0,0,2,2,2,2,1,0,1,80.55,4847.05,0
3980,0,0,1,0,10,1,2,1,2,0,0,0,0,0,0,1,1,78.15,765.15,0
2180,1,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,1,20.3,467.15,0
3436,1,0,0,0,56,1,2,0,2,2,0,2,0,0,1,1,0,64.65,3665.55,0
5012,1,1,1,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.2,280.35,0
1718,0,0,0,0,6,1,0,1,2,2,2,2,0,2,0,1,0,98.15,567.45,1
4179,1,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,1,74.2,1133.9,1
6766,1,1,1,0,32,1,2,1,0,0,0,0,0,2,0,1,2,85.0,2642.05,1
3467,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,84.6,84.6,0
6883,1,0,1,1,64,1,2,1,2,0,2,0,0,2,2,0,0,93.4,5822.3,0
6593,0,1,1,0,33,1,2,1,0,2,0,0,0,0,0,1,0,80.6,2656.5,1
2956,0,0,0,1,21,1,0,0,2,0,2,0,0,2,1,0,3,64.85,1336.8,0
4990,1,1,1,0,29,1,0,1,2,0,2,0,0,2,1,0,0,90.1,2656.7,0
2564,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1
5830,1,1,1,1,72,0,1,0,2,2,2,2,2,2,2,1,0,64.8,4732.35,0
836,1,1,1,0,43,1,0,1,0,2,2,0,2,2,1,1,0,100.55,4304.0,0
2667,0,1,1,0,56,1,2,1,0,0,2,0,2,2,0,1,0,100.65,5688.05,1
6796,0,0,0,0,66,1,2,1,0,0,2,0,2,0,1,1,0,92.15,6056.9,0
4001,0,1,1,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6401.25,0
6512,0,0,1,0,72,1,2,1,2,2,2,2,2,2,2,1,1,113.65,8124.2,0
4919,1,0,0,1,56,1,0,2,1,1,1,1,1,1,1,1,3,21.2,1238.65,0
2975,1,0,0,0,68,1,2,1,0,2,2,2,2,2,1,0,2,108.45,7176.55,1
4939,1,0,0,0,45,1,0,0,2,0,2,0,2,2,0,1,2,75.95,3273.8,0
3762,0,1,0,0,60,1,2,1,2,0,0,0,2,2,1,1,0,101.4,6176.6,0
4289,0,0,0,0,24,0,1,0,0,2,2,0,2,2,0,1,1,54.15,1240.25,1
3245,1,0,1,1,55,1,0,2,1,1,1,1,1,1,1,0,3,19.5,1026.35,0
1700,1,0,1,0,59,0,1,0,0,0,0,0,2,2,0,1,2,44.3,2666.75,0
4861,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,3437.5,0
6397,0,0,0,0,51,0,1,0,0,2,2,0,2,2,1,1,1,56.4,2928.5,0
3595,0,0,1,0,3,1,2,1,0,2,0,0,0,2,0,1,1,91.5,242.95,1
4380,1,0,0,0,46,0,1,0,2,0,0,0,0,0,1,1,0,30.75,1489.3,0
2551,1,0,1,0,22,1,0,1,0,0,2,0,2,2,0,1,1,94.7,1914.9,1
5818,0,1,0,0,32,1,0,1,0,0,0,0,2,2,0,0,2,90.95,2897.95,0
30,1,0,1,1,37,1,0,1,0,0,0,0,2,2,1,0,1,91.2,3247.55,0
4485,1,0,0,0,20,1,2,1,0,0,0,0,2,0,0,1,2,85.25,1734.5,1
6208,1,0,1,1,21,1,0,2,1,1,1,1,1,1,1,0,3,19.8,350.1,0
6,0,1,1,0,71,1,0,1,2,2,2,2,2,2,2,1,0,109.7,7904.25,0
2425,0,0,1,1,67,1,2,0,2,2,0,2,2,0,2,0,1,74.0,4868.4,0
349,0,1,0,0,24,1,0,2,1,1,1,1,1,1,0,1,3,20.3,459.95,0
926,1,0,0,0,14,1,0,2,1,1,1,1,1,1,1,0,3,19.35,324.8,0
1267,1,0,1,0,12,1,0,1,2,0,0,2,0,0,0,0,0,80.85,866.45,1
1895,1,0,0,0,65,1,2,0,0,2,2,2,0,2,2,1,1,74.2,4805.65,0
4791,1,1,0,0,67,1,0,1,2,2,0,2,2,2,2,1,2,105.05,7171.7,0
5762,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,79.8,1001.2,0
36,0,0,1,0,55,1,2,1,2,0,0,0,2,0,0,1,0,89.8,4959.6,0
4440,1,0,1,0,68,1,2,0,2,2,2,2,2,2,2,1,1,90.8,6302.85,0
2482,1,0,1,1,34,0,1,0,2,0,0,0,0,0,1,0,0,30.4,938.65,0
5960,1,0,1,0,67,1,0,1,2,2,0,0,2,2,1,1,1,100.9,6733.15,0
1815,1,0,1,1,33,1,0,2,1,1,1,1,1,1,1,1,0,19.45,600.25,0
1679,1,1,0,0,67,1,2,0,2,2,0,2,0,0,2,1,0,64.55,4250.1,0
4251,0,0,0,0,66,1,0,0,2,2,2,0,0,0,2,1,0,61.15,4017.45,0
2991,1,0,0,0,9,1,0,0,2,0,0,2,0,2,0,0,3,64.95,547.8,0
5776,0,0,1,0,72,1,2,0,2,0,2,2,2,2,2,1,0,84.9,6065.3,0
3014,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,3,25.4,1710.9,0
1640,0,0,0,1,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15,6413.65,1
4878,0,0,1,0,64,1,2,0,0,0,2,2,0,0,1,0,0,58.35,3756.45,0
6731,0,0,0,1,16,1,0,1,0,0,0,0,2,0,0,1,2,81.0,1312.15,1
5936,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,74.35,1
2233,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1
5967,1,1,1,0,59,1,0,1,2,2,2,0,0,0,1,1,1,82.95,4903.15,0
570,0,0,0,0,30,1,0,2,1,1,1,1,1,1,2,0,1,19.4,578.5,0
3255,1,0,1,0,70,1,2,0,2,0,2,2,0,2,2,1,1,74.8,5315.8,0
5092,1,1,0,0,13,1,0,1,0,0,0,0,2,2,0,1,2,90.5,1201.15,1
5230,1,0,1,0,72,1,2,1,2,2,2,2,2,2,2,0,1,114.45,8375.05,0
684,0,1,1,0,66,1,2,1,0,2,0,0,2,2,0,1,2,100.8,6690.75,0
5182,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,19.65,19.65,0
6071,1,1,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,115.75,8399.15,0
5608,1,0,1,0,71,1,2,0,2,2,2,2,0,2,2,0,1,80.4,5727.15,0
4387,1,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,1,24.75,1859.1,0
6273,1,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,2,49.15,169.05,1
375,0,0,1,0,29,1,0,2,1,1,1,1,1,1,2,1,3,19.55,521.8,0
4928,1,0,1,1,31,0,1,0,2,0,2,2,2,2,1,0,2,59.95,1848.8,0
6337,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,0
6194,0,1,1,1,71,1,2,0,2,2,0,0,2,0,1,0,2,69.2,4982.5,0
1763,1,0,0,0,44,1,0,1,0,0,2,2,2,2,2,0,0,100.1,4378.35,0
168,1,0,1,1,23,1,2,2,1,1,1,1,1,1,1,0,3,24.35,538.5,0
6456,0,0,1,1,35,1,0,1,2,0,2,2,2,2,0,1,2,106.9,3756.45,0
5392,0,0,1,1,72,1,2,1,2,0,2,2,2,2,2,1,0,110.45,8058.85,0
4265,0,1,0,0,26,1,2,1,0,2,0,0,2,0,0,1,2,89.15,2277.65,1
3988,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.95,20.95,1
621,1,0,1,0,61,1,2,0,2,2,2,2,0,2,2,1,0,80.8,4860.85,0
2208,1,0,1,1,53,1,0,1,0,2,0,2,2,0,0,1,2,92.55,4779.45,0
6478,0,0,0,0,10,1,2,1,2,0,0,0,2,2,0,1,2,98.7,973.25,1
6562,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,43.55,335.4,0
2412,0,1,1,0,19,1,2,1,0,0,0,0,2,2,0,1,2,94.95,1760.25,0
1520,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,3,19.55,883.35,0
113,0,0,1,1,69,1,2,1,2,0,2,0,0,0,1,0,0,84.45,5848.6,0
1821,0,0,1,1,10,1,0,1,0,0,0,0,2,2,0,1,2,88.85,929.45,0
2081,0,1,1,0,70,1,2,1,2,0,0,0,0,2,0,1,2,90.85,6470.1,0
808,1,0,1,1,53,1,2,0,2,2,0,2,0,0,1,0,0,64.15,3491.55,0
302,1,0,1,0,48,1,0,2,1,1,1,1,1,1,2,1,3,20.05,1036.0,0
399,1,0,1,1,13,1,0,2,1,1,1,1,1,1,0,1,3,19.85,252.0,0
1976,0,1,0,0,20,1,2,1,0,0,0,0,0,2,0,1,1,85.8,1727.5,1
4797,1,1,0,0,30,1,2,1,2,0,0,0,0,2,0,1,1,90.5,2595.85,0
2668,0,1,0,0,13,1,2,1,0,0,0,0,2,2,0,1,2,95.05,1290.0,1
5948,0,0,1,1,15,1,0,2,1,1,1,1,1,1,0,0,3,20.05,284.3,0
488,1,1,0,0,57,1,2,1,2,0,0,2,0,2,2,0,2,93.75,5625.55,0
2215,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0
89,0,1,0,0,27,1,2,1,0,2,2,0,0,0,0,1,0,86.45,2401.05,0
6658,0,0,0,0,28,1,2,0,2,0,2,0,0,0,1,0,3,59.0,1654.45,0
6458,0,0,1,0,26,0,1,0,2,2,2,0,2,0,1,0,0,47.85,1190.5,0
2990,1,1,0,0,19,1,2,1,0,0,2,0,0,0,0,1,2,79.85,1471.75,1
528,0,0,1,1,71,0,1,0,2,2,0,2,2,2,2,0,0,59.7,4122.65,0
6260,1,0,0,0,33,1,0,2,1,1,1,1,1,1,2,0,3,20.35,689.75,0
1195,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.55,79.55,1
5506,1,0,0,0,55,1,0,0,0,2,0,2,0,2,1,1,2,64.2,3627.3,0
57,1,0,0,0,27,1,0,2,1,1,1,1,1,1,0,1,2,19.4,529.8,0
3022,0,1,1,0,70,1,2,1,0,2,0,2,2,2,1,1,0,105.55,7195.35,0
3308,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,79.6,195.05,1
5829,0,0,0,0,23,1,0,2,1,1,1,1,1,1,0,1,0,20.3,470.6,0
2758,0,0,0,0,41,1,0,0,0,0,0,2,0,0,1,0,0,50.05,2029.05,0
5018,0,0,1,0,9,1,0,0,0,2,0,0,0,0,0,0,3,50.85,466.6,0
1318,1,0,0,0,10,1,2,1,0,2,2,0,0,2,0,1,2,95.25,1021.55,0
